142.22, 27.68, 1.08
142.48, 27.16, 1.03
142.65, 26.88, 1.08
142.97, 26.44, 1.16
143.19, 26.08, 1.21
143.34, 25.74, 1.03
143.47, 25.26, 1.06
143.88, 24.91, 1.38
144.07, 24.65, 0.83
144.28, 24.15, 0.93
144.50, 23.75, 1.27
144.62, 23.50, 1.36
144.88, 23.09, 1.12
144.93, 22.56, 1.02
145.10, 22.33, 1.12
145.29, 21.87, 0.95
145.46, 21.54, 1.10
145.78, 21.12, 1.12
145.98, 20.60, 1.02
146.01, 20.32, 1.32
146.11, 12.77, 0.83
146.29, 19.78, 0.90
146.45, 19.47, 0.90
146.66, 18.99, 1.41
146.75, 18.62, 1.38
146.81, 18.25, 1.22
146.94, 17.83, 0.94
147.24, 17.44, 1.24
147.33, 17.10, 1.20
147.38, 16.50, 0.85
147.66, 16.25, 0.83
147.84, 15.73, 0.94
147.90, 15.34, 1.36
147.93, 14.84, 1.01
148.11, 14.53, 1.39
148.27, 13.64, 0.83
148.30, 14.00, 1.02
148.38, 13.16, 0.90
148.58, 12.77, 1.24
148.73, 12.34, 0.88
148.82, 11.52, 0.86
148.86, 12.02, 1.05
149.00, 11.09, 0.89
149.10, 10.66, 1.14
149.16, 10.24, 0.93
149.26, 9.48, 1.09
149.26, 9.79, 1.35
149.41, 8.57, 1.38
149.42, 8.97, 1.29
149.54, 7.16, 0.96
149.57, 8.16, 1.02
149.61, 6.88, 1.22
149.63, 7.73, 1.29
149.79, 5.54, 1.17
149.81, 6.45, 1.14
149.85, 5.87, 0.85
